pid,unweighted,inhibitory
1,6.5,6.5
2,1352,0
3,26,26
4,630.5,1891.5
5,65,130
6,0,0
7,195,585
8,110.5,442
9,156,312
10,364,728
11,351,351
12,1001,5005
13,130,130
14,1157,2314
15,0,0
16,52,0
17,26,26
18,91,0
19,0,0
20,325,650
21,10010,20020
22,0,0
23,0,0
24,0,0
25,364,1456
26,0,0
27,390,390
28,234,702
29,0,0
30,780,1560
31,65,195
32,0,0
33,0,0
34,0,0
35,156,0
36,78,78
37,6.5,6.5
38,0,0
39,702,2808
40,0,0
41,156,312
42,390,390
43,169,0
44,13,13
45,221,442
46,143,0
47,78,78
48,208,0
49,3692,3692
50,0,0
51,364,1092
52,247,494
62,130,
55,208,
56,0,
53,1391,
54,1014,
71,0,
66,78,
59,182,
72,325,
58,195,
